hosID,avPayments,dischargeNum,avCharges
10001,5443,17,17647.47059
10011,5451.090909,11,9976.818182
10023,6982.076923,13,20239.69231
10024,5499.625,16,24286.1875
10033,8671.071429,154,26774.70779
10035,5717.083333,12,13336
10039,5897.068966,29,19718.2069
10055,5251,12,23664.16667
10079,5791.636364,11,12670.90909
10090,5159.05,20,21566.7
10092,5709.076923,39,21582.41026
10113,5342.035714,28,20155.21429
30002,8362.583333,48,37218.16667
30006,6737,14,25088.78571
30013,6764.65625,32,22941.96875
30014,6533.4,15,22180.46667
30024,8838.928571,14,29654.21429
30036,6620.823529,17,30133.76471
30038,6629.695652,23,24743.43478
30061,5815.411765,34,24821.32353
30064,10740.51064,47,34348.3617
30065,6661.388889,36,21360.66667
30085,5769.238095,21,22851.52381
30087,5741,28,24963.57143
30088,5981.448276,29,22708.75862
30089,7296.269231,26,25984.96154
30093,6089.692308,26,24660.69231
30101,6452,13,40882.76923
30103,7735.814815,27,18736.07407
30115,7055.894737,19,26753.42105
30119,7709.142857,14,32976.85714
40004,5510.5,12,23664
40007,6259.285714,14,25288
40016,8334.777778,36,20076.83333
40020,6000.090909,11,11071
40022,5726.666667,21,20184.7619
40027,5240.333333,12,11932.08333
40036,5358.333333,18,13345
40055,5733.863636,22,14761.27273
40114,5618.95,40,15591.75
50009,8168.769231,13,50277.23077
50022,8428.695652,23,40119.91304
50025,11828.34615,26,27951.34615
50026,6916.142857,28,34195.57143
50030,7326.636364,11,28172.90909
50038,15159.23077,13,55006.84615
50039,6856,14,30624.92857
50043,10432.86667,15,53656.2
50047,10947.91304,69,46722.85507
50056,8247.692308,13,19080.23077
50057,7715,14,29852.5
50058,9550.181818,11,37512
50060,11269.76923,13,36905.23077
50069,8611.307692,13,54936.15385
50077,8817.464286,28,33897.17857
50079,9149.454545,11,56902.54545
50093,7211.848485,33,28103.42424
50100,10076,31,62695.93548
50108,8486.884615,26,35539.07692
50112,7784.190476,21,35079.61905
50115,7078,15,36295
50116,8301,13,56180
50125,11840.54545,11,68078.18182
50128,7022.083333,24,22963.29167
50133,7587.363636,11,33617.36364
50150,6928.363636,11,32707.45455
50153,9835.466667,15,49319.53333
50168,6448,15,35873.6
50169,6718.066667,15,42859.8
50174,8677.75,16,47149.25
50180,8757.791667,24,82597.70833
50195,9106.888889,18,63501.22222
50204,7150.071429,14,50175
50222,7740.764706,17,64902.23529
50224,6033.3,20,26876.65
50226,7904.5,14,47040.64286
50238,7629.857143,14,36364.42857
50243,7927.333333,12,49805.16667
50245,11640.73684,19,31213.52632
50262,12857.26667,45,37206.55556
50290,6387.647059,17,33611.35294
50308,7812.444444,18,51745
50309,7102.384615,13,27272.92308
50324,6306.769231,13,35507.15385
50327,10776.04762,42,38339.57143
50334,11772.58824,17,39476.94118
50348,11221.6087,23,41371.34783
50380,7565,16,56541.4375
50382,9150,18,26310.44444
50396,10218.66667,12,47647.58333
50438,7510.85,20,43308.9
50441,13749.7037,27,70360.7037
50454,13838.95588,68,59553.88235
50481,7955.75,12,69071.58333
50485,8025.090909,22,32094.5
50488,8568.625,16,39252.8125
50496,8228.470588,17,70515.23529
50502,10502.57983,119,46233.2437
50516,9554.894737,19,33603.68421
50557,7247.095238,21,47295
50567,6420.608696,23,37036.69565
50570,8912.166667,12,52931.41667
50573,6234.823529,17,58674.35294
50581,7192.818182,11,54291.90909
50599,13259.48387,31,70800.09677
50625,12325.45614,57,96121.96491
50696,11249.28571,28,62259.92857
50701,7666.125,16,22422.6875
50761,6864.642857,14,67044.64286
60001,6592.1875,16,19107.5
60003,5946,11,32336.90909
60009,5902,14,21061.07143
60010,5577.16129,31,18670.58065
60020,6016.416667,12,25518.75
60022,6136.5,20,22841.1
60023,6901.090909,11,19262.27273
60024,11073.11905,42,50303.59524
60031,5615.875,16,30040.375
60032,6630.636364,11,45224
60034,6178.96875,32,38333.75
60064,7018.428571,14,43722.14286
60100,5997.95,20,38208.2
60104,6619.636364,11,24949
60112,6129.818182,11,32323.27273
60113,5558.4,15,33596.8
60119,5471,11,24008.72727
70001,8122.16,25,33198.56
70002,8486.636364,22,25885.90909
70006,7428.733333,15,23882.4
70007,7006.882353,17,12205.35294
70017,6772.090909,11,18196.09091
70020,6756.263158,19,24408.26316
70022,11097.94783,115,35491.9913
70024,6943.086957,23,14677.56522
70025,9492.486486,37,23786.02703
70028,7990.727273,11,25063.63636
70033,7663.44,25,17983.8
70034,7595.722222,18,21188.77778
70035,7249.388889,18,24531.22222
80001,7507.385714,70,13732.48571
80004,7470.611111,18,21792.55556
