hosID,lat,state,name,long
110004,34.9467,GA,HUTCHESON MEDICAL CENTER,-85.2628
110005,34.17871,GA,NORTHSIDE HOSPITAL FORSYTH,-84.139049
110006,33.94591,GA,ST MARY'S HOSPITAL,-83.40443
110007,31.590225,GA,PHOEBE PUTNEY MEMORIAL HOSPITAL,-84.155125
110001,34.78886,GA,HAMILTON MEDICAL CENTER,-84.98462
110002,32.887189,GA,UPSON REGIONAL MEDICAL CENTER,-84.33455
110003,31.225125,GA,SATILLA REGIONAL MEDICAL CENTER,-82.348981
420026,34.013077,SC,SISTERS OF CHARITY PROVIDENCE HOSPITALS,-81.013326
220090,42.139702,MA,MILFORD REGIONAL MEDICAL CENTER,-71.516701
670071,32.748202,TX,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,-97.115778
110008,34.24578,GA,NORTHSIDE HOSPITAL CHEROKEE,-84.49215
420023,34.84331,SC,ST FRANCIS-DOWNTOWN,-82.421999
420020,33.37908,SC,GEORGETOWN MEMORIAL HOSPITAL,-79.285351
450788,27.69438,TX,"CORPUS CHRISTI MEDICAL CENTER,THE",-97.34414
330104,41.09536,NY,NYACK HOSPITAL,-73.92521
330107,40.93385,NY,PECONIC BAY MEDICAL CENTER,-72.67454
330106,40.77883,NY,NORTH SHORE UNIVERSITY HOSPITAL,-73.70297
140148,39.80858,IL,MEMORIAL MEDICAL CENTER,-89.654679
330103,42.08991,NY,OLEAN GENERAL HOSPITAL,-78.426739
430077,44.058658,SD,RAPID CITY REGIONAL HOSPITAL,-103.225026
450780,29.52771,TX,METHODIST AMBULATORY SURGERY HOSPITAL NW,-98.59589
140145,38.625154,IL,ST JOSEPHS HOSPITAL,-89.524308
140147,38.73501,IL,RICHLAND MEMORIAL HOSPITAL,-88.077049
190099,31.143262,LA,AVOYELLES HOSPITAL,-92.064517
330108,42.091244,NY,"ST JOSEPH'S HOSPITAL, INC",-76.797373
140143,41.328667,IL,ST MARGARETS HOSPITAL,-89.19406
30119,33.285959,AZ,MERCY GILBERT MEDICAL CENTER,-111.755318
320063,32.441616,NM,CARLSBAD MEDICAL CENTER,-104.258393
170200,37.724511,KS,VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,-97.511879
280111,41.45329,NE,COLUMBUS COMMUNITY HOSPITAL,-97.383977
100168,26.35944,FL,BOCA RATON REGIONAL HOSPITAL,-80.10283
420027,34.51015,SC,ANMED HEALTH,-82.64702
100166,27.29896,FL,DOCTORS HOSPITAL OF SARASOTA,-82.45485
100167,26.12683,FL,PLANTATION GENERAL HOSPITAL,-80.20419
50641,34.02393,CA,EAST LOS ANGELES DOCTORS HOSPITAL,-118.18414
50644,34.03579,CA,LOS ANGELES METROPOLITAN MEDICAL CTR,-118.309
100161,28.81621,FL,CENTRAL FLORIDA REGIONAL HOSPITAL,-81.28373
150172,38.338974,IN,PHYSICIANS' MEDICAL CENTER LLC,-85.8271
150173,40.402999,IN,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,-86.807587
140179,41.72087,IL,LITTLE COMPANY OF MARY HOSPITAL,-87.691909
150175,37.9746,IN,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,-87.441428
150176,38.3342,IN,KENTUCKIANA MEDICAL CENTER LLC,-85.749
150177,41.700835,IN,UNITY MEDICAL AND SURGICAL HOSPITAL,-86.176841
220095,42.57468,MA,HEYWOOD HOSPITAL,-71.995369
240106,44.954842,MN,REGIONS HOSPITAL,-93.095781
240101,46.815226,MN,ESSENTIA HEALTH ST MARYS,-95.845438
240100,47.505002,MN,SANFORD BEMIDJI MEDICAL CENTER,-94.897418
440187,36.384463,TN,LIVINGSTON REGIONAL HOSPITAL,-85.328
340106,34.90229,NC,SANDHILLS REGIONAL MEDICAL CENTER,-79.711347
340107,35.921731,NC,HERITAGE HOSPITAL,-77.557066
30111,32.17787,AZ,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",-110.930639
340109,36.321528,NC,ALBEMARLE HOSPITAL AUTHORITY,-76.220022
440185,35.17603,TN,SKYRIDGE MEDICAL CENTER,-84.8689
450656,31.652093,TX,NACOGDOCHES MEDICAL CENTER,-94.653914
450654,26.387534,TX,STARR COUNTY MEMORIAL HOSPITAL,-98.855999
450653,32.239977,TX,SCENIC MOUNTAIN MEDICAL CENTER,-101.492464
450651,33.01936,TX,MEDICAL CENTER OF PLANO,-96.76572
440183,35.09987,TN,ST FRANCIS HOSPITAL,-89.86571
450484,31.327987,TX,WOODLAND HEIGHTS MEDICAL CENTER,-94.756193
450658,31.7256,TX,EAST TEXAS MEDICAL CENTER - FAIRFIELD,-96.16962
450659,29.72242,TX,PARK PLAZA HOSPITAL,-95.38811
140064,40.987472,IL,ST MARY MEDICAL CENTER,-90.363619
140093,40.135986,IL,PROVENA UNITED SAMARITANS MEDCTR-LOGAN,-87.644899
140091,40.11743,IL,CARLE FOUNDATION HOSPITAL,-88.21442
450489,32.71683,TX,MEDICAL ARTS HOSPITAL,-101.9562
140095,41.855512,IL,SAINT ANTHONY HOSPITAL,-87.698306
250095,33.457245,MS,SOUTH SUNFLOWER COUNTY HOSPITAL,-90.650003
330102,42.977879,NY,KENMORE MERCY HOSPITAL,-78.878659
450565,32.79956,TX,PALO PINTO GENERAL HOSPITAL,-98.145686
240038,44.942573,MN,UNITED HOSPITAL,-93.10739
410009,41.698589,RI,KENT COUNTY MEMORIAL HOSPITAL,-71.461678
410008,41.438839,RI,SOUTH COUNTY HOSPITAL INC,-71.490791
490120,36.74634,VA,CHESAPEAKE REGIONAL MEDICAL CENTER,-76.24492
490122,38.74008,VA,INOVA MOUNT VERNON HOSPITAL,-77.07472
490123,37.704592,VA,RAPPAHANNOCK GENERAL HOSPITAL,-76.393339
240030,45.87264,MN,DOUGLAS COUNTY HOSPITAL,-95.37689
410001,41.879219,RI,MEMORIAL HOSPITAL OF RHODE ISLAND,-71.382477
450530,29.3956,TX,MAINLAND MEDICAL CENTER,-94.995
410007,41.823872,RI,RHODE ISLAND HOSPITAL,-71.411987
410006,41.492119,RI,NEWPORT HOSPITAL,-71.311348
410005,41.823872,RI,ST JOSEPH HEALTH SERVICES OF RI,-71.411987
240036,45.57482,MN,ST CLOUD HOSPITAL,-94.17019
100017,29.20195,FL,HALIFAX HEALTH MEDICAL CENTER,-81.05607
100014,29.02116,FL,BERT FISH MEDICAL CENTER,-80.922909
100012,26.62659,FL,LEE MEMORIAL HOSPITAL,-81.872295
100018,26.15025,FL,NAPLES COMMUNITY HOSPITAL,-81.79942
100019,28.087887,FL,HOLMES REGIONAL MEDICAL CENTER,-80.613515
260186,38.118641,MO,LAKE REGIONAL HEALTH SYSTEM,-92.681322
190020,30.65014,LA,LANE REGIONAL MEDICAL CENTER,-91.137799
100092,28.3345,FL,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,-80.72268
190026,31.314357,LA,RAPIDES REGIONAL MEDICAL CENTER,-92.449676
190027,30.21539,LA,CHRISTUS ST PATRICK HOSPITAL,-93.228294
190025,30.64106,LA,SAVOY MEDICAL CENTER,-92.417158
60003,40.18133,CO,LONGMONT UNITED HOSPITAL,-105.12682
60001,40.41384,CO,NORTH COLORADO MEDICAL CENTER,-104.70932
100204,29.6597,FL,NORTH FLORIDA REGIONAL MEDICAL CENTER,-82.412249
60006,38.48053,CO,MONTROSE MEMORIAL HOSPITAL,-107.86928
450221,35.86424,TX,MOORE COUNTY HOSPITAL DISTRICT,-101.970419
60004,39.964511,CO,PLATTE VALLEY MEDICAL CENTER,-104.771031
60009,39.76936,CO,EXEMPLA LUTHERAN MEDICAL CENTER,-105.09079
60008,37.472026,CO,SAN LUIS VALLEY REGIONAL MEDICAL CENTER,-105.883539
450229,32.471561,TX,HENDRICK MEDICAL CENTER,-99.731119
50546,36.04391,CA,PORTERVILLE DEVELOPMENTAL CENTER,-118.97985
310028,41.058559,NJ,NEWTON MEMORIAL HOSPITAL,-74.753189
310029,39.945251,NJ,OUR LADY OF LOURDES MEDICAL CENTER,-75.119133
310021,40.217869,NJ,ST FRANCIS MEDICAL CENTER,-74.759399
310022,39.795921,NJ,VIRTUA WEST JERSEY HOSPITALS BERLIN,-74.932327
310024,40.60527,NJ,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,-74.274223
310025,40.668732,NJ,BAYONNE HOSPITAL CENTER,-74.117493
310027,40.663509,NJ,TRINITAS REGIONAL MEDICAL CENTER,-74.211456
330115,43.0787,NY,ONEIDA HEALTHCARE CENTER,-75.65391
100090,29.86258,FL,FLAGLER HOSPITAL,-81.32007
10145,33.2336,AL,NORTHPORT MEDICAL CENTER,-87.56953
10144,30.68593,AL,SPRINGHILL MEDICAL CENTER,-88.131709
10146,33.785691,AL,JACKSONVILLE MEDICAL CENTER,-85.76121
10149,32.37637,AL,BAPTIST MEDICAL CENTER EAST,-86.17184
10148,31.430473,AL,EVERGREEN MEDICAL CENTER,-86.940708
90006,38.94287,DC,PROVIDENCE HOSPITAL,-76.99034
90001,38.90104,DC,GEORGE WASHINGTON UNIV HOSPITAL,-77.05011
90003,38.916949,DC,HOWARD UNIVERSITY HOSPITAL,-77.021909
440161,36.1528,TN,CENTENNIAL MEDICAL CENTER,-86.80782
530032,41.2422,WY,EVANSTON REGIONAL HOSPITAL,-110.99161
260070,36.236848,MO,PEMISCOT MEMORIAL HOSPITAL,-89.740786
260077,38.50948,MO,ST ANTHONY'S MEDICAL CENTER,-90.37756
520019,45.638373,WI,MINISTRY ST MARYS HOSPITAL,-89.310853
260074,39.423854,MO,MOBERLY REGIONAL MEDICAL CENTER,-92.414618
440168,35.244874,TN,METHODIST HEALTHCARE FAYETTE HOSPITAL,-89.363706
260078,36.737833,MO,OZARKS MEDICAL CENTER,-91.875546
520011,45.50789,WI,LAKEVIEW MED CENTER,-91.76037
520013,44.793414,WI,SACRED HEART HSPTL,-91.511568
160124,43.418353,IA,LAKES REGIONAL HEALTHCARE,-95.126389
50167,37.886194,CA,SAN JOAQUIN GENERAL HOSPITAL,-121.28115
390137,41.258444,PA,WILKES-BARRE GENERAL HOSPITAL,-75.868104
380102,44.08265,OR,SACRED HEART MEDICAL CENTER - RIVERBEND,-123.02809
290009,39.53162,NV,SAINT MARY'S REGIONAL MEDICAL CENTER,-119.81823
290008,40.82314,NV,NORTHEASTERN NEVADA REGIONAL HOSPITAL,-115.72843
290001,39.52419,NV,RENOWN REGIONAL MEDICAL CENTER,-119.79542
